robot_id,successes,episodes,success_rate
0,29,29,100.00
1,1,49,2.04
2,26,26,100.00
3,28,28,100.00
4,6,32,18.75
5,17,17,100.00
6,16,16,100.00
7,16,16,100.00
8,0,12,0.00
