step,x,y,z,speed_3d,speed_xy,command_v,command_w,outcome
0,-4.202267169952393,1.6009666919708252,0.018627941608428955,0.0,0.0,0.0,0.0,collision
1,-4.202233791351318,1.6011531352996826,-0.0013252979842945933,0.6235668063163757,0.005918987561017275,1.0,-3.0,collision
2,-4.202214241027832,1.6022086143493652,0.008462483063340187,0.30764201283454895,0.03298937529325485,1.0,-3.0,collision
3,-4.202195167541504,1.6032538414001465,0.008198401890695095,0.03369500860571861,0.03266878426074982,0.0,-3.0,collision
4,-4.202175140380859,1.604308843612671,-0.0021041228901594877,0.3236381411552429,0.03297475352883339,1.0,0.0,collision
5,-4.202151298522949,1.6053645610809326,0.0029251822270452976,0.16059282422065735,0.03299957886338234,1.0,3.0,collision
6,-4.202127456665039,1.6064101457595825,-0.0020976136438548565,0.1603289246559143,0.03268301486968994,0.0,-3.0,collision
7,-4.202107906341553,1.6074659824371338,0.0003305106074549258,0.08274442702531815,0.03300055116415024,1.0,3.0,collision
8,-4.202138423919678,1.6058934926986694,-0.0038353230338543653,0.13915139436721802,0.04914955422282219,1.0,-3.0,collision
9,-4.202123641967773,1.6069515943527222,-0.0018598113674670458,0.07003377377986908,0.03306890279054642,1.0,0.0,collision
10,-4.202108860015869,1.6079951524734497,-0.001520843361504376,0.03429153561592102,0.032614462077617645,1.0,-3.0,collision
11,-4.202090740203857,1.6090582609176636,-0.0012656253529712558,0.03417075425386429,0.03322695940732956,1.0,-3.0,collision
12,-4.202070236206055,1.6101199388504028,-0.0010619687382131815,0.03378840535879135,0.03318361937999725,1.0,3.0,collision
13,-4.2020697593688965,1.610145926475525,-0.0009038827265612781,0.0050065163522958755,0.0008122499566525221,0.0,3.0,collision
14,-4.202054500579834,1.6111843585968018,-0.0007680301205255091,0.03273100033402443,0.03245450556278229,1.0,-3.0,collision
15,-4.202054023742676,1.6112085580825806,-0.0006684517138637602,0.003202431369572878,0.0007563806721009314,0.0,-3.0,collision
16,-4.202054023742676,1.6112109422683716,-0.0005845514824613929,0.0026229405775666237,7.450580596923828e-05,0.0,3.0,collision
17,-4.202035427093506,1.6122685670852661,-0.0005121745634824038,0.03313317149877548,0.03305588290095329,1.0,0.0,collision
18,-4.202016830444336,1.6133259534835815,-0.00045900806435383856,0.033090170472860336,0.03304843232035637,1.0,-3.0,collision
19,-4.201995849609375,1.6143829822540283,-0.00041670777136459947,0.033065084367990494,0.033038653433322906,1.0,3.0,collision
20,-4.201995849609375,1.6144051551818848,-0.0003877502167597413,0.0011397378984838724,0.0006929039373062551,0.0,3.0,collision
21,-4.201979637145996,1.6154406070709229,-0.0003551451663952321,0.03237787261605263,0.03236183524131775,1.0,-3.0,collision
22,-4.201960563659668,1.6164971590042114,-0.00033333906321786344,0.03302965685725212,0.03302262723445892,1.0,-3.0,collision
23,-4.201940059661865,1.617553472518921,-0.00031619396759197116,0.03302036225795746,0.03301601484417915,1.0,3.0,collision
24,-4.201921463012695,1.6186096668243408,-0.00030248574330471456,0.033013965934515,0.03301118686795235,1.0,3.0,collision
25,-4.2019219398498535,1.6186312437057495,-0.00029640222783200443,0.0007007239037193358,0.0006744421552866697,0.0,3.0,collision
26,-4.201908588409424,1.6196662187576294,-0.00028209175798110664,0.03234874829649925,0.03234565630555153,1.0,3.0,collision
27,-4.20190954208374,1.619687557220459,-0.00027979203150607646,0.0006713502225466073,0.0006674925680272281,0.0,3.0,collision
28,-4.201900482177734,1.6207225322723389,-0.00026878085918724537,0.03234603628516197,0.03234420716762543,1.0,-3.0,collision
29,-4.201889514923096,1.6217787265777588,-0.0002642704639583826,0.0330081507563591,0.033007849007844925,1.0,0.0,collision
30,-4.201878070831299,1.6228348016738892,-0.00026094086933881044,0.03300444781780243,0.0330042839050293,1.0,-3.0,collision
