x,y
-4.262143230306306,-4.498779104925994
-4.2622449189908105,-4.497560706778621
-4.262348642987061,-4.496510656727537
-4.262349216595676,-4.496488761918729
-4.2623484187336755,-4.496488194391013
-4.262448735415971,-4.495436725313033
-4.262548438360243,-4.494385116517845
-4.262645753398128,-4.493333336155548
-4.262645360423175,-4.493332767802401
-4.262645013079797,-4.4933325194883675
-4.262738793516988,-4.49230183132043
-4.2628317158559765,-4.491249750084
-4.2629242830446,-4.490197736076885
-4.263014490594611,-4.489145527823595
-4.2630145765533785,-4.489124265589387
-4.263098904458066,-4.488092837630611
-4.26318175632087,-4.487040048506647
-4.263182533749625,-4.487018931713417
-4.263266008344698,-4.485966390043977
-4.26334964499365,-4.484913618195091
-4.2633499708044935,-4.484892436133109
-4.263349688657396,-4.484892357332931
-4.263430335217215,-4.483860702204008
-4.263428862933039,-4.483839577116839
-4.263509005615202,-4.482807878789587
-4.263509529631254,-4.482786708816488
-4.263509043354816,-4.482786675271366
-4.26350858709475,-4.482786654354164
-4.263508498141186,-4.48278658169355
-4.263580495738271,-4.481733226541374
-4.263652161645494,-4.480679662850127
-4.2636531863965175,-4.480658571663154
-4.263652596956904,-4.4806585440653395
-4.263652778434714,-4.480658586126777
-4.263724947513506,-4.479605238646422
-4.263797537696865,-4.4785517402088635
-4.263872255388255,-4.477498309269829
-4.263946964855298,-4.476444892989444
-4.264022001388647,-4.475391587843787
-4.264022298070718,-4.475391316927494
-4.26402286233267,-4.475391416762341
-4.264102120582309,-4.474338611315548
-4.2641017062726485,-4.474317525711131
-4.2641798262501265,-4.47328552005774
-4.264180172367694,-4.473285243921014
-4.264259537227824,-4.47223243932595
-4.264259462586622,-4.472211357677121
-4.264259659665455,-4.472211331534194
-4.264259800769081,-4.4722113170917455
-4.264259568662798,-4.472211358925807
-4.264260019244612,-4.472211436733148
-4.264260074995592,-4.472211401014853
-4.264336722413852,-4.4711583952938865
-4.264413734900204,-4.47010522962114
-4.264492469996127,-4.46905218404847
-4.264568726694994,-4.467998947533175
-4.264642509749937,-4.466945528369433
-4.264713862597209,-4.465891937088928
-4.264714640135311,-4.465870835619293
-4.26478515832341,-4.464838408925744
-4.264854422202027,-4.46378460691197
-4.2648552530061234,-4.46376350970901
-4.2649258077956045,-4.462731094052054
-4.264994768281598,-4.461677337458563
-4.265061710957445,-4.4606233785770995
-4.265128412822024,-4.459569485182636
-4.265128153048925,-4.459548274237441
-4.265127324812322,-4.459548242535716
-4.265187488249029,-4.458494149903114
-4.265247732006344,-4.457439803201889
-4.265308042685346,-4.456385470100198
-4.265368050238897,-4.455331202936164
-4.265367881637443,-4.455310029466604
-4.265422464219894,-4.45427668094328
-4.265475296712052,-4.453221939242224
-4.265474036946017,-4.453200756592147
-4.265524530606723,-4.452146160803096
-4.265575080756525,-4.451091316092884
-4.265574039818025,-4.451070159031768
-4.265623056749675,-4.450036485495309
-4.265673958994233,-4.4489816517384435
-4.2656731977284155,-4.448960511814917
-4.265672964033706,-4.448960535621823
-4.265718301137612,-4.447926761462828
-4.265761659500444,-4.446871577793037
-4.265760795599419,-4.446850406787208
-4.265801015415449,-4.44581640185873
-4.265839210036561,-4.444761018672929
-4.265877096663868,-4.44370569986385
-4.265876674855944,-4.443705379388857
-4.265912570932384,-4.442650202034551
-4.2659485483101784,-4.441594768404777
-4.265984583598705,-4.440539342720026
-4.2659850165154625,-4.440518252544417
-4.265985176174552,-4.440518316149024
-4.266026058830254,-4.439463322740841
-4.2660267009152335,-4.439442216506885
-4.266069333854554,-4.438408306638126
-4.2661097244479125,-4.4373530831186825
-4.266148044437914,-4.436297703937424
-4.266147679672208,-4.436297393600696
-4.266147044120531,-4.436297420784479
-4.266146489785541,-4.43629744701754
-4.266180066270175,-4.4352632205754405
-4.266211796135051,-4.434207710987328
-4.266246036640451,-4.43315226304404
-4.266282431405336,-4.432096811034766
-4.266282562335491,-4.432096514890916
-4.266282323909243,-4.432096562199539
-4.266282759230954,-4.4320966245081195
-4.2663192182795715,-4.431062491555467
-4.266358265027159,-4.43000714098799
-4.266397273301282,-4.428951795619548
-4.26643587559305,-4.4278965263959655
-4.266435830845791,-4.4278962300853175
-4.266471629196088,-4.426862088044806
-4.2665050087860665,-4.425806633655389
-4.26653631201532,-4.424751032438833
-4.266567334035652,-4.423695503652599
-4.266596674666679,-4.422639941242823
-4.266628553856139,-4.421584442171199
-4.266629174213647,-4.421563316738404
-4.266629216422285,-4.421563270257209
-4.266665119506183,-4.420529134345729
-4.266698936085822,-4.419473610457843
-4.266698778303287,-4.419473308192792
-4.266732046091978,-4.418439083740026
-4.266762859593965,-4.417383548824718
-4.266762376483104,-4.41738323182876
-4.266790712877554,-4.416348847880925
-4.26681654245884,-4.415293171449942
-4.266815883056111,-4.415292849283567
-4.266839411976207,-4.414258342366006
-4.266860714021904,-4.41320249612451
-4.266882132849431,-4.412146656895186
-4.2669033087565476,-4.411090892431754
-4.26690238981523,-4.411069704111897
-4.266918764546014,-4.41003506903031
-4.266932512862855,-4.408979161277367
-4.266932187322286,-4.408958032047934
-4.266946529687543,-4.407902313558926
-4.266960661467168,-4.4068464103497895
-4.266972421751253,-4.4057904695216425
-4.266971748380637,-4.405790154155329
-4.266981989479428,-4.404755460744548
-4.266995049117722,-4.403699563337189
-4.2670102870374595,-4.402643601106518
-4.267025531131826,-4.401587653060271
-4.267040764270906,-4.400531716460285
-4.267055988329849,-4.399475789027865
-4.2670712049231385,-4.398419868926805
-4.2670860694211,-4.3973640277514345
-4.267098464035165,-4.396308138752661
-4.26709846094138,-4.396287022335575
-4.2671116765178825,-4.395252366169836
-4.267127682957914,-4.39419650744837
-4.267146176226785,-4.393140671418021
-4.267146571814874,-4.393140371177524
-4.267166710405327,-4.3921058233736705
-4.267184086003074,-4.391049981756125
-4.267183892485178,-4.391049669997993
-4.267184046713032,-4.391049724724989
-4.26720195952409,-4.39001513273505
-4.267221917010395,-4.388959329034404
-4.26723976142288,-4.387903400826987
-4.267240043927415,-4.38788225573641
-4.26726000838677,-4.386847661749635
-4.267260098089863,-4.386826514862781
-4.2672798893683,-4.3857918957923125
-4.267297406713404,-4.384735958207695
-4.267296683349192,-4.384714774190716
-4.267296747843559,-4.384714802881571
-4.267296168273499,-4.384714814545641
-4.26731182148493,-4.383680154115332
-4.267311909354671,-4.38367983222187
-4.26732953880141,-4.382645214177697
-4.26732975689965,-4.382624062802247
-4.267347137941618,-4.3815894044729236
-4.267362581291239,-4.380533513921032
-4.267362501645524,-4.380533183599018
-4.267362116719801,-4.380533206422472
-4.267377134354494,-4.379498551922254
-4.267390153333905,-4.37844263424684
-4.267390138588042,-4.37844231005151
-4.267405319582977,-4.377386616417522
-4.267420504742932,-4.376330667007299
-4.267436040650537,-4.37527480919057
-4.26745334100489,-4.374218974513125
-4.267453688331565,-4.374197835337406
-4.26747093774098,-4.37316320012452
-4.267485516877707,-4.372107302626489
-4.267498015159412,-4.371051298521926
-4.267497291318335,-4.371030125284595
-4.267507059380037,-4.369995400032477
-4.26750697424578,-4.369974261359136
-4.267516603356687,-4.368939506091069
-4.267515699222317,-4.3689183067960045
-4.267520293152649,-4.367883517904649
-4.267519336527649,-4.367862310144571
-4.26751887581755,-4.3668275066029985
-4.267518259003077,-4.366827176017808
-4.267515245171861,-4.3657923932759095
-4.267514234331088,-4.365771196029395
-4.267513395790378,-4.365771200259206
-4.267512658553784,-4.365771216084471
-4.267501080254737,-4.364736491539684
-4.2674918906188415,-4.363680437456436
-4.267492250293583,-4.363659270859606
-4.267485578168819,-4.362603468490691
-4.2674855682879915,-4.36260316073855
-4.267485895784908,-4.362603205821701
-4.267481879137953,-4.361568460536339
-4.267480583068433,-4.3605124640729604
-4.267481016368934,-4.35945646583453
-4.267480774120046,-4.359435300890409
-4.26747688680417,-4.3584005179260545
-4.267475661611307,-4.357344508752748
-4.2674757518922,-4.35732334980237
-4.267473650732305,-4.356288582368662
-4.267468747883347,-4.355232582238514
-4.267468582644065,-4.355232253598281
-4.2674611674456,-4.354197504563842
-4.267451425976263,-4.353141473872088
-4.267441386964702,-4.352085523509864
-4.267429289848003,-4.351029522798621
-4.267428551468851,-4.351008370163208
-4.267414499265608,-4.349973696882889
-4.267402833789556,-4.348917694868889
-4.267402473649624,-4.348896542561112
-4.2674025013135575,-4.348896496244983
-4.267388346274643,-4.3478408027461795
-4.2673741864727255,-4.346784847086669
-4.267359676015592,-4.345728979140255
-4.267343048679661,-4.3446730594114635
-4.267343238101281,-4.3446519358493445
-4.267328781853059,-4.343617275007874
-4.267328809489667,-4.343596144989225
-4.267314970199779,-4.342561478526788
-4.267303205923227,-4.3415055452805245
-4.267302640874815,-4.341484373579164
-4.267286703613251,-4.340449705291414
-4.267273124931158,-4.339393709559328
-4.267259196736758,-4.338337803021851
-4.267243133380236,-4.337281850448811
-4.267243006858,-4.337281555580557
-4.267226983226615,-4.336225896817799
-4.267227273900804,-4.336204766751319
-4.267213390469658,-4.335170096202779
-4.267213108686484,-4.335169803508633
-4.2671969439145006,-4.334114139208505
-4.267180823114599,-4.333058215184389
-4.267180666905278,-4.333057939599478
-4.267180545207243,-4.333057935406279
-4.267180116809654,-4.33305801600192
-4.267179723646404,-4.3330580823989955
-4.267159236594114,-4.332002493460644
-4.267158804141237,-4.331981359824703
-4.267136234762983,-4.330946823983919
-4.267136424000945,-4.330946517585448
-4.26711576634731,-4.329911975091799
-4.267092719957064,-4.328856162195148
-4.2670696742671455,-4.327800354556752
-4.267047135799389,-4.326766012109112
-4.267047359129863,-4.3267657304516005
-4.26702711383035,-4.325710150694905
-4.2670068236042455,-4.324654310393443
-4.266986137163651,-4.323598558593607
-4.266963693986019,-4.322542834191109
-4.266943350559545,-4.321486982626552
-4.2669434459217515,-4.321486705782318
-4.266943864825777,-4.3214867700265565
-4.266925339440195,-4.32045219422678
-4.2669041122484535,-4.319396426462188
