x,y
-2.7383033368979808,-4.503121680674869
-2.738283889019983,-4.503159266754088
-2.738283782869606,-4.503158755145995
-2.7382839737025724,-4.5031582655318205
-2.737813693732058,-4.502235475036592
-2.737331890992346,-4.501295461139601
-2.7368504571501395,-4.500355401339609
-2.736370682771123,-4.499414556574383
-2.7363704005670826,-4.499414227705499
-2.7358888411174664,-4.498474556998788
-2.7354071913683597,-4.497534661516874
-2.7353983545059175,-4.497515770878905
-2.735398266392088,-4.49751573034469
-2.7349284877372053,-4.496593433569776
-2.7349198332197884,-4.496574362699634
-2.734445219335179,-4.495631219098434
-2.7339702008665423,-4.494688091802649
-2.733960497321742,-4.494669453864711
-2.733481822611311,-4.4937290447394345
-2.733005186965551,-4.4927867186267045
-2.7330053399724634,-4.492786280293091
-2.7325394880099627,-4.491862137869846
-2.7320625277605166,-4.490919996280275
-2.7315871041606434,-4.489977066910811
-2.731109468490364,-4.489035251323075
-2.7306302621962004,-4.488094244789195
-2.7301526439466035,-4.487152422801066
-2.73014279505566,-4.487133868684414
-2.7296615937434616,-4.486194605724192
-2.7296615060914142,-4.486194292093439
-2.7291821383974777,-4.485253588164769
-2.728702642570486,-4.484312661857527
-2.728223493111992,-4.483371655319949
-2.7277461807747723,-4.482429622770055
-2.727737440178055,-4.482410563402074
-2.7277372903250705,-4.482410691020642
-2.727737152772273,-4.482410813494379
-2.7272676805006824,-4.4814882893786345
-2.7267912088780433,-4.480545889339341
-2.72678204893629,-4.480527104723939
-2.7267827282782617,-4.480526768993913
-2.7263166187178816,-4.479602708613744
-2.7258394591065804,-4.478660647315416
-2.725364464871911,-4.477717480307974
-2.724891305414588,-4.476773316518145
-2.724882766335135,-4.476754133017281
-2.7244118404768787,-4.475809161232715
-2.7244025297560643,-4.47579038084255
-2.7244024129929887,-4.475790471047615
-2.7239271505640645,-4.474847679496934
-2.7234520863466054,-4.4739045829579425
-2.7234427996679744,-4.473885926184891
-2.7229762892877494,-4.472962095833485
-2.7229761181267773,-4.472961830654618
-2.7229763991797364,-4.4729617314438705
-2.7225100814178336,-4.472037812703752
-2.7220365423847954,-4.471093853020115
-2.7220365633153207,-4.471093499626263
-2.7215631018467983,-4.470149823810993
-2.721554363862452,-4.470130764387733
-2.7215547432830127,-4.470130618403546
-2.7210854642350095,-4.469184845846526
-2.720616073461256,-4.468238838071663
-2.720147031953208,-4.467292751135592
-2.7201378397155516,-4.467274128629694
-2.7201380270594124,-4.4672739896916305
-2.7196686387219193,-4.466328285794487
-2.7196592930972834,-4.466309526883601
-2.7196591239773094,-4.466309652565325
-2.719185408594566,-4.465366093702084
-2.7187115440621548,-4.464422318679841
-2.718702722454685,-4.464403291023396
-2.718231175846495,-4.463458647852241
-2.7182216992692294,-4.463439949235551
-2.7182217231860113,-4.463439892485201
-2.7182220712888543,-4.463439779079804
-2.7182223920322746,-4.46343966925422
-2.71822236900231,-4.4634396330855886
-2.7177613469687394,-4.462513061005695
-2.7172890228190525,-4.461568502594603
-2.717288716714932,-4.461568321055059
-2.7168260670388893,-4.460642579672631
-2.7168173619722227,-4.460623481184741
-2.716359300993601,-4.459695427032727
-2.716350861568898,-4.459676171542246
-2.7163513887082433,-4.459675926413194
-2.715899107448999,-4.458745027356201
-2.715889703717991,-4.458726248206874
-2.7154245537268125,-4.457779026311308
-2.714960810149056,-4.456830278374223
-2.714951348176055,-4.456811514556939
-2.7144922567433007,-4.455883942048603
-2.714492172750411,-4.45588304277534
-2.7144916303510924,-4.45588331422205
-2.714491174626006,-4.455883548732965
-2.714491368646729,-4.455883468524301
-2.7140307016539014,-4.454956693034754
-2.7135626571993186,-4.454010056723556
-2.7135537755660164,-4.453991008645941
-2.7135539834092284,-4.453990909276109
-2.713553598174054,-4.453991104982375
-2.713094715221735,-4.453063422989089
-2.7130943229368882,-4.453063244264553
-2.713093812709457,-4.453063511982995
-2.7126306205525843,-4.45213797706306
-2.7121558473370024,-4.4511946983016735
-2.711679576157702,-4.450252191001443
-2.711670475729673,-4.450233269337321
-2.7112079924211834,-4.449307391370139
-2.711199269221543,-4.449288270550456
-2.7111996363916018,-4.449288092536323
-2.7111999952158206,-4.449287930507919
-2.7107367888460474,-4.448339134135701
-2.7107366928843764,-4.4483388248176965
-2.710282806930502,-4.44740873135627
-2.7098222966113634,-4.446458434172305
-2.7098134308961677,-4.446439583450829
-2.709814087364923,-4.446439275794884
-2.7098143053597177,-4.446439107665393
-2.7098148348083813,-4.44643888674183
-2.7093663230031813,-4.445506180201799
-2.709366256232577,-4.445504688358888
-2.7093658588211853,-4.445504892068354
-2.7089149632176124,-4.444573323725813
-2.708453329469704,-4.4436235608352845
-2.708444695165276,-4.443604392692552
-2.708444356160598,-4.443604556822934
-2.7079942163289323,-4.442672491848715
-2.7079939561069555,-4.44267181985742
-2.7075431099411924,-4.441737276506286
-2.7075433087006555,-4.4417368133845265
-2.7070958426359537,-4.440803584190067
-2.706641199732387,-4.439850465896766
-2.706641236087086,-4.43985008738169
-2.7061930865851203,-4.438917191760789
-2.7057336197082313,-4.437966387425413
-2.7052719320262657,-4.437016643547291
-2.704808069829035,-4.4360679580900415
-2.7043420645062404,-4.435120322760504
-2.7038745893357286,-4.434173445396571
-2.703409426487787,-4.43322542265164
-2.703409223589607,-4.433225171470752
-2.7034089055210275,-4.433225374509076
-2.7029531644177376,-4.432295920889594
-2.7029532098111972,-4.432295554048212
-2.7029530852810617,-4.432295661255933
-2.702953554935862,-4.432295470176678
-2.7029533423662913,-4.432295606738152
-2.7024885943593993,-4.431347580625389
-2.70202340649777,-4.430399565796912
-2.7020145446011874,-4.430380603598475
-2.701559111684948,-4.4294512557032375
-2.70109708006817,-4.42850169035636
-2.701097228964021,-4.428501259147237
-2.7006456342391933,-4.427570033128371
-2.700182632253013,-4.426620948978914
-2.7001737323714927,-4.426601936374374
-2.7001735074011117,-4.426601978085345
-2.700173687247469,-4.426601938045453
-2.6997224695456343,-4.425670559952391
-2.6997221285679607,-4.425669921751962
-2.6997222240130623,-4.425669809134247
-2.699271434957644,-4.424738206891192
-2.698813427746404,-4.423786702782018
-2.698353165777776,-4.4228362701415005
-2.697891310912011,-4.421886619551979
-2.6974310385177227,-4.420936196116693
-2.6969692056123784,-4.419986537837876
-2.6969691290105366,-4.419986223595197
-2.696517786094794,-4.419054875885488
-2.6960550805245354,-4.418105650266884
-2.6955908131397264,-4.417157189974405
-2.695128160555506,-4.416207926814258
-2.6951277806486402,-4.416207763900609
-2.694672714437281,-4.415278227151451
-2.694664109082027,-4.41525907957936
-2.69466384068935,-4.415259232181167
-2.694663872480791,-4.4152591580620415
-2.6942106968054893,-4.414328689150077
-2.693746799680297,-4.413380047178631
