step,x,y,z,speed_3d,speed_xy,command_v,command_w,outcome
0,-2.7381300926208496,-4.508232116699219,-0.008454044349491596,0.0,0.0,0.0,0.0,collision
1,-2.738060235977173,-4.508213520050049,-0.004288639407604933,0.1301884949207306,0.0022590497974306345,1.0,-3.0,collision
2,-2.7379815578460693,-4.509638786315918,-0.003442401299253106,0.05185704678297043,0.04460738226771355,1.0,3.0,collision
3,-2.737905502319336,-4.510870456695557,-0.0027713950257748365,0.043895356357097626,0.03856300935149193,1.0,3.0,collision
4,-2.737832546234131,-4.511974811553955,-0.002234492916613817,0.03844113275408745,0.03458631411194801,1.0,3.0,collision
5,-2.737762689590454,-4.512937068939209,-0.0018049937207251787,0.033002257347106934,0.030149677768349648,1.0,3.0,collision
6,-2.7376959323883057,-4.513742923736572,-0.001461418578401208,0.027455614879727364,0.025269223377108574,1.0,3.0,collision
7,-2.7376320362091064,-4.5143818855285645,-0.0011865798151120543,0.021827878430485725,0.02006714418530464,1.0,3.0,collision
8,-2.7375712394714355,-4.5148444175720215,-0.0009667269769124687,0.01611625775694847,0.014578455127775669,1.0,3.0,collision
9,-2.737513303756714,-4.51512336730957,-0.0007908596890047193,0.010462862439453602,0.008903206326067448,1.0,3.0,collision
10,-2.7374582290649414,-4.515213489532471,-0.0006501779425889254,0.0054973880760371685,0.003300573443993926,1.0,3.0,collision
11,-2.737406015396118,-4.515110015869141,-0.0005376421031542122,0.005048338323831558,0.003621909534558654,1.0,3.0,collision
12,-2.737356662750244,-4.514808654785156,-0.0004476208705455065,0.009948991239070892,0.009542983956634998,1.0,3.0,collision
13,-2.7373099327087402,-4.514307022094727,-0.00037560955388471484,0.015903905034065247,0.015743892639875412,1.0,3.0,collision
14,-2.7372663021087646,-4.5136027336120605,-0.0003180046915076673,0.02212456427514553,0.022051207721233368,1.0,3.0,collision
15,-2.737225294113159,-4.512693881988525,-0.0002719238109420985,0.028466952964663506,0.028430508449673653,1.0,3.0,collision
16,-2.737186908721924,-4.511660099029541,-0.00023544135910924524,0.03234807774424553,0.03232797607779503,1.0,3.0,collision
17,-2.7371509075164795,-4.510626316070557,-0.00020686263451352715,0.03233763575553894,0.032325297594070435,1.0,3.0,collision
18,-2.7371175289154053,-4.509592533111572,-0.0001840319309849292,0.03233042359352112,0.03232255205512047,1.0,3.0,collision
19,-2.737086772918701,-4.508558750152588,-0.0001657725078985095,0.03232504427433014,0.03232001140713692,1.0,3.0,collision
20,-2.737058401107788,-4.5075249671936035,-0.00015116781287360936,0.032321102917194366,0.0323178768157959,1.0,3.0,collision
21,-2.737032413482666,-4.506491184234619,-0.00013948605919722468,0.032317984849214554,0.032315921038389206,1.0,3.0,collision
22,-2.737009286880493,-4.505456924438477,-0.0001301420561503619,0.03233001381158829,0.03232869878411293,1.0,3.0,collision
23,-2.7369885444641113,-4.504423141479492,-0.0001226678432431072,0.03231306001543999,0.032312218099832535,1.0,3.0,collision
24,-2.7369701862335205,-4.50338888168335,-0.00011668911611195654,0.03232624754309654,0.032325707376003265,1.0,3.0,collision
25,-2.7369544506073,-4.502354621887207,-0.00011190655641257763,0.03232470154762268,0.032324355095624924,1.0,3.0,collision
26,-2.736941337585449,-4.5013203620910645,-0.000108080763311591,0.032323434948921204,0.032323215156793594,1.0,3.0,collision
27,-2.7369306087493896,-4.50028657913208,-0.00010502029908820987,0.032307595014572144,0.0323074534535408,1.0,3.0,collision
28,-2.7369225025177,-4.4992523193359375,-0.00010257203393848613,0.03232170268893242,0.03232160955667496,1.0,3.0,collision
29,-2.7369167804718018,-4.498218059539795,-0.00010061352077173069,0.03232116997241974,0.03232111036777496,1.0,3.0,collision
30,-2.7369136810302734,-4.497183799743652,-9.904683247441426e-05,0.03232079744338989,0.032320763915777206,1.0,3.0,collision
31,-2.736912965774536,-4.49614953994751,-9.779364336282015e-05,0.032320644706487656,0.03232062608003616,1.0,3.0,collision
32,-2.736914873123169,-4.495115280151367,-9.679130744189024e-05,0.03232068568468094,0.032320670783519745,1.0,3.0,collision
33,-2.7369191646575928,-4.494081020355225,-9.59897370194085e-05,0.03232090547680855,0.03232089430093765,1.0,3.0,collision
34,-2.736923933029175,-4.493870258331299,-9.443453745916486e-05,0.006588177755475044,0.0065879980102181435,1.0,3.0,collision
35,-2.736928701400757,-4.493450164794922,-9.306520223617554e-05,0.013128838501870632,0.013128768652677536,1.0,3.0,collision
36,-2.736933708190918,-4.492818355560303,-9.197380131809041e-05,0.019744686782360077,0.01974465884268284,1.0,3.0,collision
37,-2.736938953399658,-4.491974830627441,-9.110118116950616e-05,0.026360677555203438,0.026360662654042244,1.0,3.0,collision
38,-2.736945152282715,-4.490989685058594,-9.073874389287084e-05,0.030786408111453056,0.030786408111453056,1.0,3.0,collision
39,-2.7369532585144043,-4.489955902099609,-9.089211380342022e-05,0.03230670839548111,0.03230670839548111,1.0,3.0,collision
40,-2.736964464187622,-4.488922119140625,-9.126264922088012e-05,0.032307613641023636,0.03230760991573334,1.0,3.0,collision
41,-2.736978054046631,-4.487887859344482,-9.157054591923952e-05,0.032323408871889114,0.032323408871889114,1.0,3.0,collision
42,-2.736994504928589,-4.486854076385498,-9.181784116663039e-05,0.03230980783700943,0.03230980411171913,1.0,3.0,collision
43,-2.737013339996338,-4.485820293426514,-9.201629291055724e-05,0.032311078161001205,0.032311078161001205,1.0,3.0,collision
44,-2.737034797668457,-4.484786033630371,-9.217585466103628e-05,0.032327573746442795,0.032327573746442795,1.0,3.0,collision
45,-2.7370591163635254,-4.483752250671387,-9.23044717637822e-05,0.03231465443968773,0.03231465443968773,1.0,3.0,collision
46,-2.7370855808258057,-4.482718467712402,-9.240851795766503e-05,0.03231630101799965,0.03231629729270935,1.0,3.0,collision
47,-2.737114906311035,-4.481684684753418,-9.249307186109945e-05,0.032318711280822754,0.032318711280822754,1.0,3.0,collision
48,-2.7371466159820557,-4.480650901794434,-9.25621934584342e-05,0.032320912927389145,0.032320909202098846,1.0,3.0,collision
49,-2.7371809482574463,-4.479617118835449,-9.261912055080757e-05,0.032323528081178665,0.032323528081178665,1.0,3.0,collision
50,-2.737218141555786,-4.478583335876465,-9.266644337913021e-05,0.03232661634683609,0.03232661634683609,1.0,3.0,collision
51,-2.737257719039917,-4.477550029754639,-9.27062428672798e-05,0.0323144905269146,0.0323144905269146,1.0,3.0,collision
52,-2.737299919128418,-4.4765167236328125,-9.274017793359235e-05,0.03231773152947426,0.03231773152947426,1.0,3.0,collision
53,-2.737344741821289,-4.475483417510986,-9.276955097448081e-05,0.032321181148290634,0.032321181148290634,1.0,3.0,collision
54,-2.737391948699951,-4.47445011138916,-9.279543155571446e-05,0.032324496656656265,0.032324496656656265,1.0,3.0,collision
55,-2.7374417781829834,-4.473416805267334,-9.281865641241893e-05,0.03232834115624428,0.03232833743095398,1.0,3.0,collision
56,-2.737494468688965,-4.472383975982666,-9.283989493269473e-05,0.032317887991666794,0.032317884266376495,1.0,3.0,collision
57,-2.7375495433807373,-4.471351146697998,-9.285970008932054e-05,0.03232176974415779,0.03232176601886749,1.0,3.0,collision
58,-2.7376039028167725,-4.47031831741333,-9.28672234294936e-05,0.03232058882713318,0.03232058882713318,1.0,-3.0,collision
59,-2.7376554012298584,-4.469285488128662,-9.288085857406259e-05,0.03231601044535637,0.03231601044535637,1.0,-3.0,collision
60,-2.737704038619995,-4.468252182006836,-9.288953151553869e-05,0.03232656419277191,0.03232656419277191,1.0,-3.0,collision
61,-2.7377521991729736,-4.467240810394287,-9.300796227762476e-05,0.03164117410778999,0.03164117410778999,1.0,3.0,collision
62,-2.7378032207489014,-4.466207981109619,-9.289410809287801e-05,0.032315272837877274,0.032315272837877274,1.0,3.0,collision
63,-2.7378571033477783,-4.465175151824951,-9.289816807722673e-05,0.0323198065161705,0.0323198065161705,1.0,3.0,collision
64,-2.737910509109497,-4.464142322540283,-9.289735316997394e-05,0.03231903538107872,0.03231903538107872,1.0,-3.0,collision
65,-2.7379612922668457,-4.463109016418457,-9.290473099099472e-05,0.03232979029417038,0.03232979029417038,1.0,-3.0,collision
66,-2.738009214401245,-4.462075710296631,-9.290838352171704e-05,0.03232552483677864,0.03232552111148834,1.0,-3.0,collision
67,-2.7380566596984863,-4.461064338684082,-9.302114631282166e-05,0.03164011985063553,0.03164011985063553,1.0,3.0,collision
68,-2.738107204437256,-4.460031509399414,-9.290565503761172e-05,0.032314542680978775,0.032314542680978775,1.0,3.0,collision
69,-2.7381606101989746,-4.458998203277588,-9.290705202147365e-05,0.03233391419053078,0.03233391419053078,1.0,3.0,collision
70,-2.7382166385650635,-4.45796537399292,-9.29151865420863e-05,0.03232337161898613,0.03232336789369583,1.0,3.0,collision
71,-2.7382755279541016,-4.45693302154541,-9.292500180890784e-05,0.03231346234679222,0.03231345862150192,1.0,3.0,collision
72,-2.7383370399475098,-4.455900192260742,-9.293610492022708e-05,0.03233310207724571,0.03233310207724571,1.0,3.0,collision
73,-2.7383978366851807,-4.454867839813232,-9.293737093685195e-05,0.0323169082403183,0.032316904515028,1.0,-3.0,collision
74,-2.7384557723999023,-4.453835487365723,-9.294552728533745e-05,0.032311778515577316,0.03231177479028702,1.0,-3.0,collision
