x,y
-2.738005332086081,-4.501693667030893
-2.738021237160236,-4.501799933135762
-2.737936230293908,-4.500741543974131
-2.7378535900652,-4.49968385180336
-2.737773348315251,-4.498626928244342
-2.737695476511838,-4.497570597023834
-2.7376199512859527,-4.496514719017416
-2.7375467538288474,-4.495459181266801
-2.7374758690953023,-4.494403892455385
-2.73740728511527,-4.493348779244331
-2.737407980411379,-4.493326460360995
-2.737344690852361,-4.49229271463098
-2.7372833019604683,-4.491237803944667
-2.737224219943528,-4.490182888001699
-2.7371674324279356,-4.48912795683553
-2.7371683579411052,-4.489106337847916
-2.73711661986044,-4.488072528774926
-2.737067018572545,-4.487017453373784
-2.7370679748811746,-4.4869960046243165
-2.737069029212014,-4.486995818696876
-2.737069940219775,-4.486995680478038
-2.7370294255730103,-4.485961576648277
-2.7369913607554532,-4.484906165887205
-2.736992368724647,-4.484884853483673
-2.736959120650398,-4.483850521518192
-2.736928411009353,-4.482794905308324
-2.736900042775545,-4.481739223612263
-2.7369012486436963,-4.481717943345826
-2.736877580193244,-4.480683386447819
-2.7368564860866056,-4.479627558883133
-2.7368576959853055,-4.479606292295325
-2.7368412987376973,-4.478571608580405
-2.7368424467531924,-4.478550359034382
-2.7368310151801296,-4.477515611071798
-2.7368221740389402,-4.476459615100104
-2.7368156651654916,-4.475403596322247
-2.736811471779958,-4.474347570768565
-2.736812755212927,-4.474326327992963
-2.7368132204982443,-4.4732915312446755
-2.736816258355943,-4.472235512647665
-2.7368175098163707,-4.472214278487752
-2.736825222218945,-4.471179508420643
-2.7368355145015966,-4.470123534551982
-2.7368481261688484,-4.469067578292286
-2.7368630429201395,-4.468011655652013
-2.7368802553317466,-4.466955771136132
-2.736899755887514,-4.465899929014737
-2.73690112529004,-4.46587872152744
-2.736925238233928,-4.464844204227516
-2.736951915129467,-4.463788524582455
-2.73698089625913,-4.462732896750638
-2.7370121696929366,-4.461677336799067
-2.7370457284269465,-4.460621849324014
-2.737081566863922,-4.459566438675973
-2.7371196805062996,-4.4585111092722824
-2.7371597242827193,-4.4574557872700655
-2.7371999193890257,-4.456400556482161
-2.737242401265027,-4.455345412029383
-2.737287184034092,-4.454290359866442
-2.7373342590238434,-4.453235405320175
-2.737383619153816,-4.452180553571724
-2.7374352586839685,-4.451125809702871
-2.737489172956153,-4.450071178721405
-2.7375453581832767,-4.449016665580429
-2.737603811278089,-4.447962275192969
-2.7376645297143716,-4.446908012442939
-2.7377275114145836,-4.445853882193334
-2.737792754659058,-4.444799889292297
-2.7378602580127347,-4.443746038577581
-2.737930020266121,-4.442692334879779
-2.7380020403878027,-4.441638783024662
-2.738004073335631,-4.44161769680324
-2.738079935827159,-4.4405856438955285
-2.738159068209747,-4.439532602567008
-2.7382404894432484,-4.438479725630098
-2.738324189069162,-4.437427028886293
-2.7384101615570278,-4.436374516863643
-2.738498402440106,-4.435322193861566
-2.7385889080654984,-4.4342700642574995
-2.7385899763351635,-4.434269839300024
-2.738591149820083,-4.434269977802315
-2.7386847263738066,-4.433239385181347
-2.7387812641116493,-4.432187830641014
-2.738875927816298,-4.43113607216454
-2.7389729327791796,-4.4300845261610755
-2.7389752253795288,-4.4300635022751065
-2.7390756005427295,-4.429033535620781
-2.73917996928407,-4.427982693675178
-2.739286678578314,-4.4269320766264375
-2.7393957061622256,-4.425881699176056
-2.739506335807742,-4.42483152174265
-2.7395088088797515,-4.4248105170767
-2.7395088346749445,-4.424810545126661
-2.7396192271013247,-4.42378127687638
-2.739730663661107,-4.422731156487277
-2.7397333639958075,-4.422710168471703
-2.7398477691252734,-4.421681655166233
-2.7398506334578605,-4.421660688517166
-2.739969908924924,-4.420632723762222
-2.7400937253350612,-4.419583980982569
-2.740219879359506,-4.4185355096014
-2.740348347978496,-4.4174873232481735
-2.740479116041958,-4.416439424813163
-2.7406114697609314,-4.415391760940735
-2.7407419200548846,-4.414343833625309
-2.7408739838027287,-4.413296130613072
-2.7410041985859253,-4.41224818129107
-2.741134171321242,-4.411221711951133
-2.7412690465067175,-4.4101743952198635
-2.7414063388697154,-4.4091273707701735
-2.7415460086520715,-4.408080653827396
-2.74168802733845,-4.407034248121875
-2.7416914521498894,-4.407013413793635
-2.7418357651564924,-4.405988661730141
-2.7419850468027063,-4.404943260132125
-2.742136643902127,-4.4038981802436625
-2.742290536043945,-4.40285343638759
-2.742446710364868,-4.401809032108168
-2.7426051565207072,-4.40076497088415
-2.742765866127761,-4.399721256405945
-2.7429288323666547,-4.398677892554415
-2.7429298849410015,-4.3986777395243175
-2.7430914516515075,-4.3976555873173435
-2.743253628058141,-4.396612124007586
-2.7434181258097117,-4.395569009666943
-2.7435849666204026,-4.394526265138558
-2.7437541276126414,-4.39348389309316
-2.7439255901805826,-4.392441896218727
-2.7440993392284616,-4.391400277535099
-2.744275362490739,-4.3903590403563575
-2.7444536499814016,-4.389318188244586
-2.7446341935474496,-4.3882777249696225
-2.7448169865073124,-4.3872376544747445
-2.7450020233585013,-4.3861979808475615
-2.7451889731554635,-4.385158583275159
-2.7451898474808827,-4.385158436935354
-2.745373789596171,-4.384140030516723
-2.7455629371906243,-4.38310105240177
-2.7457522821248284,-4.382062186062463
-2.745943923010434,-4.381023733414961
-2.746137537282687,-4.379985572617683
-2.7463306489102166,-4.378947423991978
-2.746521904689344,-4.377908908699196
-2.746715173795192,-4.376870686080593
-2.746908699631131,-4.375832598090363
-2.747103885619396,-4.374794828217506
-2.747296577996422,-4.3737565802917855
-2.7474874751330405,-4.372717996633787
-2.747680783607133,-4.371679851932708
-2.7478765043953435,-4.370642153285111
-2.7480745985538793,-4.369604900581847
-2.748275034471697,-4.368568094485979
-2.748477098783475,-4.367531626607906
-2.7486773153362365,-4.366494779826795
-2.748879852410607,-4.365458381381581
-2.749084727942095,-4.364422440219765
-2.749291916846227,-4.363386957493827
-2.749501398684601,-4.362351934938412
-2.7497131568742863,-4.361317374817272
