robot_id,successes,episodes,success_rate
0,46,46,100.00
1,4,49,8.16
2,43,43,100.00
3,46,46,100.00
4,7,39,17.95
5,25,25,100.00
6,28,28,100.00
7,30,30,100.00
8,27,27,100.00
