step,x,y,z,speed_3d,speed_xy,command_v,command_w,outcome
0,-4.262082576751709,-4.499857425689697,-0.009884221479296684,0.0,0.0,0.0,0.0,success
1,-4.262078285217285,-4.499875545501709,-0.004997689742594957,0.15270522236824036,0.0005819089128635824,1.0,3.0,success
2,-4.262057304382324,-4.498840808868408,-0.004024690017104149,0.04439093545079231,0.03234216570854187,1.0,3.0,success
3,-4.262038707733154,-4.497784614562988,-0.0032682360615581274,0.04060233384370804,0.03301118686795235,1.0,3.0,success
4,-4.262022972106934,-4.496728420257568,-0.0026634016539901495,0.03803804889321327,0.03300973400473595,1.0,3.0,success
5,-4.262009143829346,-4.495672702789307,-0.0021796796936541796,0.03629196435213089,0.032993998378515244,1.0,3.0,success
6,-4.261998176574707,-4.494616508483887,-0.0017928197048604488,0.03515211492776871,0.033007849007844925,1.0,3.0,success
7,-4.261989593505859,-4.493560314178467,-0.0014834259636700153,0.03439409285783768,0.03300716355443001,1.0,3.0,success
8,-4.261983394622803,-4.492504119873047,-0.0012359863612800837,0.033900290727615356,0.033006638288497925,1.0,3.0,success
9,-4.261979103088379,-4.491448402404785,-0.0010380952153354883,0.033566027879714966,0.0329914428293705,1.0,3.0,success
10,-4.2619805335998535,-4.491426944732666,-0.0008847100543789566,0.004840168170630932,0.0006720406818203628,0.0,3.0,success
11,-4.2619805335998535,-4.490392208099365,-0.0007525819819420576,0.03259807452559471,0.032335519790649414,1.0,-3.0,success
12,-4.261977672576904,-4.489336013793945,-0.0006511873798444867,0.03315793350338936,0.03300619125366211,1.0,-3.0,success
13,-4.261972904205322,-4.488280296325684,-0.0005703938077203929,0.033087972551584244,0.03299150615930557,1.0,3.0,success
14,-4.261970520019531,-4.487224102020264,-0.0005057831294834614,0.03306785598397255,0.033006154000759125,1.0,3.0,success
15,-4.261970520019531,-4.486167907714844,-0.0004541108210105449,0.03304554522037506,0.03300607204437256,1.0,3.0,success
16,-4.261972904205322,-4.485112190246582,-0.0004127857100684196,0.033016517758369446,0.03299125283956528,1.0,3.0,success
17,-4.261977672576904,-4.484055995941162,-0.00037973583675920963,0.03302256017923355,0.03300640359520912,1.0,3.0,success
18,-4.2619853019714355,-4.482999801635742,-0.00035330408718436956,0.03301726281642914,0.0330069325864315,1.0,3.0,success
19,-4.261986255645752,-4.482978820800781,-0.00033704660017974675,0.0008299865876324475,0.0006563279894180596,0.0,3.0,success
20,-4.261998176574707,-4.4819440841674805,-0.00031459573074243963,0.032345276325941086,0.03233766555786133,1.0,3.0,success
21,-4.261998653411865,-4.4819231033325195,-0.0003057768917642534,0.0007113715400919318,0.0006558204186148942,0.0,-3.0,success
22,-4.262009620666504,-4.480888366699219,-0.0002895706857088953,0.03234129771590233,0.032337334007024765,1.0,-3.0,success
23,-4.26201868057251,-4.479832172393799,-0.00028090301202610135,0.0330083966255188,0.03300728648900986,1.0,3.0,success
24,-4.262019634246826,-4.479811191558838,-0.00027912971563637257,0.0006586632807739079,0.0006563279894180596,0.0,3.0,success
25,-4.262033462524414,-4.478776454925537,-0.00026827483088709414,0.03234018757939339,0.03233840689063072,1.0,3.0,success
26,-4.262050151824951,-4.477720260620117,-0.00026386106037534773,0.03301047906279564,0.03301019221544266,1.0,3.0,success
27,-4.262068271636963,-4.476686000823975,-0.00025661924155429006,0.03232637047767639,0.03232557699084282,1.0,3.0,success
28,-4.262089252471924,-4.475630283355713,-0.0002545243769418448,0.032997749745845795,0.03299768641591072,1.0,3.0,success
29,-4.262112140655518,-4.474574565887451,-0.0002531393547542393,0.0329989492893219,0.03299892321228981,1.0,-3.0,success
30,-4.262132167816162,-4.4735188484191895,-0.00025205613928847015,0.032997120171785355,0.03299710527062416,1.0,-3.0,success
31,-4.262150764465332,-4.472463130950928,-0.0002512014762032777,0.03299630060791969,0.0329962894320488,1.0,3.0,success
32,-4.262150287628174,-4.472441673278809,-0.00025537979672662914,0.0006833092775195837,0.0006707177381031215,0.0,-3.0,success
33,-4.262168884277344,-4.471406936645508,-0.0002492916537448764,0.03234129771590233,0.03234073892235756,1.0,3.0,success
34,-4.262169361114502,-4.471385955810547,-0.0002535625535529107,0.0006692633614875376,0.0006558204186148942,0.0,3.0,success
35,-4.262193202972412,-4.470351219177246,-0.00024781268439255655,0.032344598323106766,0.03234409913420677,1.0,3.0,success
36,-4.262219429016113,-4.469295978546143,-0.00024749565636739135,0.03298645094037056,0.03298645094037056,1.0,3.0,success
