robot_id,successes,episodes,success_rate
0,47,47,100.00
1,48,48,100.00
2,49,49,100.00
3,43,43,100.00
4,1,35,2.86
5,25,25,100.00
6,28,28,100.00
7,25,25,100.00
8,27,27,100.00
