robot_id,successes,episodes,success_rate
0,46,46,100.00
1,48,48,100.00
2,47,47,100.00
3,48,48,100.00
4,3,38,7.89
5,30,30,100.00
6,24,24,100.00
7,26,26,100.00
8,27,27,100.00
