robot_id,successes,episodes,success_rate
0,30,30,100.00
1,29,29,100.00
2,29,29,100.00
3,29,29,100.00
4,0,14,0.00
5,17,17,100.00
6,16,16,100.00
7,16,16,100.00
8,0,16,0.00
