robot_id,successes,episodes,success_rate
0,28,28,100.00
1,0,49,0.00
2,25,25,100.00
3,27,27,100.00
4,0,42,0.00
5,17,17,100.00
6,16,16,100.00
7,16,16,100.00
8,0,12,0.00
