step,x,y,z,speed_3d,speed_xy,command_v,command_w,outcome
0,-1.211098313331604,-4.549787998199463,-0.00989091768860817,0.0,0.0,0.0,0.0,success
1,-1.2110984325408936,-4.5498046875,-0.005000726785510778,0.15281935036182404,0.0005215539131313562,1.0,3.0,success
2,-1.2108283042907715,-4.5488057136535645,-0.0040266201831400394,0.044412415474653244,0.03233911097049713,1.0,3.0,success
3,-1.2105554342269897,-4.54778528213501,-0.003269754583016038,0.04060797765851021,0.03300891071557999,1.0,3.0,success
4,-1.2102848291397095,-4.546764373779297,-0.0026646179612725973,0.038038723170757294,0.03300510346889496,1.0,3.0,success
5,-1.2100167274475098,-4.545742988586426,-0.0021806550212204456,0.036300159990787506,0.03299956023693085,1.0,3.0,success
6,-1.209750771522522,-4.544720649719238,-0.001793601899407804,0.03515756130218506,0.03301144018769264,1.0,3.0,success
7,-1.2094871997833252,-4.543697834014893,-0.0014840532094240189,0.034395478665828705,0.0330071859061718,1.0,3.0,success
8,-1.2092258930206299,-4.542674541473389,-0.0012364896247163415,0.03389863669872284,0.0330040380358696,1.0,3.0,success
9,-1.208966851234436,-4.541650772094727,-0.0010384988272562623,0.03357603773474693,0.03300103917717934,1.0,3.0,success
10,-1.208709955215454,-4.540626525878906,-0.0008801544900052249,0.03336804732680321,0.032999105751514435,1.0,3.0,success
11,-1.2084554433822632,-4.539601802825928,-0.0007535175536759198,0.03323199599981308,0.03299552574753761,1.0,3.0,success
12,-1.2082029581069946,-4.538576126098633,-0.0006522388430312276,0.03316063433885574,0.033009253442287445,1.0,3.0,success
13,-1.207952857017517,-4.53754997253418,-0.0005712405545637012,0.03310291841626167,0.03300600126385689,1.0,3.0,success
14,-1.2077049016952515,-4.536523818969727,-0.0005064617143943906,0.0330522358417511,0.03299018740653992,1.0,3.0,success
15,-1.2074592113494873,-4.535496711730957,-0.0004546543932519853,0.0330423042178154,0.033002618700265884,1.0,3.0,success
16,-1.207215666770935,-4.534469127655029,-0.0004132211906835437,0.03302697092294693,0.03300158306956291,1.0,3.0,success
17,-1.2069743871688843,-4.533441066741943,-0.0003800847043748945,0.03301607817411423,0.03299983963370323,1.0,3.0,success
18,-1.2067352533340454,-4.532412528991699,-0.0003535836294759065,0.03300948441028595,0.03299909457564354,1.0,3.0,success
19,-1.206498384475708,-4.531383037567139,-0.0003323892306070775,0.033018819987773895,0.03301217779517174,1.0,3.0,success
20,-1.2062636613845825,-4.530353546142578,-0.0003154388687107712,0.03300146013498306,0.03299720957875252,1.0,3.0,success
21,-1.2060312032699585,-4.529323577880859,-0.00030188271193765104,0.03299880027770996,0.032996080815792084,1.0,3.0,success
22,-1.205801010131836,-4.528293132781982,-0.0002910410985350609,0.032996855676174164,0.03299511596560478,1.0,3.0,success
23,-1.2055728435516357,-4.527261734008789,-0.0002823704562615603,0.03301157429814339,0.03301046043634415,1.0,3.0,success
24,-1.2053470611572266,-4.526230335235596,-0.00027543603209778666,0.032995160669088364,0.03299444913864136,1.0,3.0,success
25,-1.2051234245300293,-4.525197982788086,-0.0002698902098927647,0.033009760081768036,0.033009305596351624,1.0,3.0,success
26,-1.204901933670044,-4.524165630340576,-0.0002654549025464803,0.03299546241760254,0.03299517184495926,1.0,3.0,success
27,-1.20468270778656,-4.523132801055908,-0.0002619077276904136,0.032995160669088364,0.03299497067928314,1.0,3.0,success
28,-1.2044657468795776,-4.522099018096924,-0.00025907086092047393,0.03300963714718819,0.03300951421260834,1.0,3.0,success
29,-1.2042509317398071,-4.5210652351379395,-0.0002568020427133888,0.032995883375406265,0.032995808869600296,1.0,3.0,success
30,-1.204038381576538,-4.520030975341797,-0.0002549875352997333,0.032996125519275665,0.032996077090501785,1.0,3.0,success
31,-1.203827977180481,-4.518996238708496,-0.0002535363892093301,0.03299727663397789,0.032997243106365204,1.0,3.0,success
32,-1.2036198377609253,-4.517960548400879,-0.0002523758157622069,0.033012449741363525,0.03301243111491203,1.0,3.0,success
33,-1.203413963317871,-4.516924858093262,-0.00025144763640128076,0.032998573035001755,0.03299855813384056,1.0,3.0,success
34,-1.2032102346420288,-4.515888690948486,-0.0002507053141016513,0.03300018236041069,0.03300017490983009,1.0,3.0,success
35,-1.203008770942688,-4.514852046966553,-0.00025011165416799486,0.03300122544169426,0.03300121799111366,1.0,3.0,success
