robot_id,episodes,successes,collisions,timeouts,success_rate,collision_rate,timeout_rate,mean_episode_length
0,30,30,0,0,100.00,0.00,0.00,1959.6
1,30,30,0,0,100.00,0.00,0.00,1988.3
2,29,29,0,0,100.00,0.00,0.00,2056.7
3,29,29,0,0,100.00,0.00,0.00,2057.9
4,12,0,2,10,0.00,16.67,83.33,4905.1
5,17,17,0,0,100.00,0.00,0.00,3367.4
6,16,16,0,0,100.00,0.00,0.00,3674.8
7,12,0,0,12,0.00,0.00,100.00,5000.0
8,12,0,0,12,0.00,0.00,100.00,5000.0
