robot_id,successes,episodes,success_rate
0,30,30,100.00
1,30,30,100.00
2,29,29,100.00
3,29,29,100.00
4,1,39,2.56
5,18,18,100.00
6,16,16,100.00
7,0,12,0.00
8,0,12,0.00
