Wall time,Step,Value
1778578670.7296858,73728,0.1818181872367859
1778578949.3625636,147456,0.20454545319080353
1778579228.728267,221184,0.2769230902194977
1778579508.6508298,294912,0.3888888955116272
1778579788.3854966,368640,0.5099999904632568
1778580074.7326639,442368,0.7099999785423279
1778580356.507484,516096,0.7599999904632568
1778580640.8664913,589824,0.7799999713897705
1778580923.4836261,663552,0.7699999809265137
1778581207.231985,737280,0.8100000023841858
1778581492.359658,811008,0.7599999904632568
1778581776.9565375,884736,0.7400000095367432
1778582058.849434,958464,0.7400000095367432
1778582344.462874,1032192,0.7400000095367432
1778582626.5856366,1105920,0.7400000095367432
1778582911.6459277,1179648,0.7300000190734863
1778583194.3216686,1253376,0.7699999809265137
1778583472.7577114,1327104,0.7900000214576721
1778583757.679596,1400832,0.8299999833106995
1778584040.3996892,1474560,0.8799999952316284
1778584322.8524249,1548288,0.9300000071525574
1778584605.073413,1622016,0.9300000071525574
1778584889.0501497,1695744,0.9399999976158142
1778585170.3331134,1769472,0.9399999976158142
1778585454.9258962,1843200,0.9599999785423279
1778585736.7093325,1916928,0.9800000190734863
1778586020.1705885,1990656,1.0
1778586302.9754496,2064384,0.9800000190734863
1778586585.4805324,2138112,0.9800000190734863
1778586867.4230273,2211840,0.9599999785423279
1778587149.8203638,2285568,0.9700000286102295
1778587430.2593331,2359296,0.9599999785423279
1778587713.754937,2433024,0.9599999785423279
1778587996.8782043,2506752,0.9300000071525574
1778588280.7002928,2580480,0.9599999785423279
1778588564.1232197,2654208,0.9599999785423279
1778588848.708991,2727936,0.9399999976158142
1778589135.736976,2801664,0.8899999856948853
1778589423.9121654,2875392,0.9200000166893005
1778589712.3800664,2949120,0.9399999976158142
1778589998.9355876,3022848,0.949999988079071
