Wall time,Step,Value
1778578670.7296858,73728,2717.318115234375
1778578949.3625636,147456,2842.136474609375
1778579228.728267,221184,3113.446044921875
1778579508.6508298,294912,3023.344482421875
1778579788.3854966,368640,3032.639892578125
1778580074.7326639,442368,2858.919921875
1778580356.507484,516096,2695.330078125
1778580640.8664913,589824,2606.409912109375
1778580923.4836261,663552,2536.7900390625
1778581207.231985,737280,2301.93994140625
1778581492.359658,811008,2331.0400390625
1778581776.9555593,884736,2246.050048828125
1778582058.849434,958464,2249.679931640625
1778582344.462874,1032192,2198.760009765625
1778582626.5846362,1105920,2175.820068359375
1778582911.6459277,1179648,2174.840087890625
1778583194.3216686,1253376,2045.77001953125
1778583472.7577114,1327104,2075.179931640625
1778583757.679596,1400832,2049.85009765625
1778584040.3996892,1474560,2119.219970703125
1778584322.8524249,1548288,2070.610107421875
1778584605.073413,1622016,2060.199951171875
1778584889.0501497,1695744,1997.47998046875
1778585170.3331134,1769472,1979.77001953125
1778585454.9258962,1843200,2081.969970703125
1778585736.7093325,1916928,2125.219970703125
1778586020.1705885,1990656,2163.800048828125
1778586302.9754496,2064384,2041.47998046875
1778586585.479531,2138112,2016.4300537109375
1778586867.4230273,2211840,1937.9200439453125
1778587149.8203638,2285568,1937.8599853515625
1778587430.2593331,2359296,1943.9200439453125
1778587713.754937,2433024,1952.469970703125
1778587996.8772163,2506752,1884.800048828125
1778588280.7002928,2580480,1798.31005859375
1778588564.1232197,2654208,1751.739990234375
1778588848.708991,2727936,1831.969970703125
1778589135.736976,2801664,1792.3299560546875
1778589423.9121654,2875392,1830.0899658203125
1778589712.3800664,2949120,1899.3299560546875
1778589998.9355876,3022848,1956.1800537109375
