robot_id,successes,episodes,success_rate
0,27,27,100.00
1,0,48,0.00
2,25,25,100.00
3,26,26,100.00
4,0,41,0.00
5,17,17,100.00
6,15,15,100.00
7,6,13,46.15
8,0,12,0.00
