robot_id,successes,episodes,success_rate
0,29,29,100.00
1,15,41,36.59
2,29,29,100.00
3,29,29,100.00
4,2,15,13.33
5,17,17,100.00
6,15,15,100.00
7,15,15,100.00
8,0,12,0.00
