Wall time,Step,Value
1779086815.2886474,73728,0.1764705926179886
1779087441.143544,147456,0.1538461595773697
1779088098.722287,221184,0.14516128599643707
1779088835.0703495,294912,0.12790697813034058
1779089449.7583275,368640,0.11999999731779099
1779089859.9533966,442368,0.11999999731779099
1779090290.946667,516096,0.1599999964237213
1779090740.8370728,589824,0.18000000715255737
1779091195.927282,663552,0.1899999976158142
1779091660.0619879,737280,0.1899999976158142
1779092059.7464879,811008,0.1899999976158142
1779092467.2405486,884736,0.23999999463558197
1779092865.8132286,958464,0.3100000023841858
1779093276.2115712,1032192,0.3400000035762787
1779093680.6113443,1105920,0.38999998569488525
1779094081.200841,1179648,0.41999998688697815
1779094491.2051878,1253376,0.44999998807907104
1779094934.242973,1327104,0.4399999976158142
1779095339.9888277,1400832,0.47999998927116394
1779095816.724682,1474560,0.49000000953674316
1779096654.0948365,1548288,0.5099999904632568
1779097336.7096019,1622016,0.5400000214576721
1779098108.6076071,1695744,0.5699999928474426
1779099067.7480578,1769472,0.5899999737739563
1779100060.4730647,1843200,0.6000000238418579
1779101059.9325485,1916928,0.6100000143051147
1779102013.3795865,1990656,0.6299999952316284
1779102987.1169877,2064384,0.6499999761581421
1779103946.2545762,2138112,0.6600000262260437
1779104940.2823842,2211840,0.6800000071525574
1779105924.912889,2285568,0.6899999976158142
1779107326.8143892,2359296,0.7200000286102295
1779107776.3873847,2433024,0.7599999904632568
1779108226.68197,2506752,0.7799999713897705
1779108674.75543,2580480,0.8299999833106995
1779109119.8984737,2654208,0.8500000238418579
1779109567.9160895,2727936,0.8500000238418579
1779109998.274795,2801664,0.8600000143051147
1779110392.3061528,2875392,0.8600000143051147
1779110791.133863,2949120,0.8600000143051147
1779111188.0815356,3022848,0.8600000143051147
