step,x,y,z,speed_3d,speed_xy,command_v,command_w,outcome
0,-1.2111687660217285,-4.5523905754089355,-0.009566113352775574,0.0,0.0,0.0,0.0,success
1,-1.211162805557251,-4.552404403686523,-0.004831682424992323,0.14795172214508057,0.0004705676983576268,1.0,-3.0,success
2,-1.211045742034912,-4.551376819610596,-0.0038780709728598595,0.043961625546216965,0.032319702208042145,1.0,3.0,success
3,-1.2109291553497314,-4.55034875869751,-0.0031368250492960215,0.03977410867810249,0.032332826405763626,1.0,3.0,success
4,-1.2108136415481567,-4.549320220947266,-0.0025440766476094723,0.03727253898978233,0.032343875616788864,1.0,3.0,success
5,-1.2107008695602417,-4.548291206359863,-0.0020700155291706324,0.035580046474933624,0.03234923630952835,1.0,3.0,success
6,-1.2105907201766968,-4.547262191772461,-0.0016908786492422223,0.03444238379597664,0.032340411096811295,1.0,3.0,success
7,-1.2104833126068115,-4.5462327003479,-0.0013876586453989148,0.03370557352900505,0.032346226274967194,1.0,3.0,success
8,-1.2103785276412964,-4.545202732086182,-0.0011451536556705832,0.03322836011648178,0.032352644950151443,1.0,3.0,success
9,-1.2102763652801514,-4.544172763824463,-0.0009512059623375535,0.03290741145610809,0.032344453036785126,1.0,3.0,success
10,-1.2101768255233765,-4.543142795562744,-0.0007960922666825354,0.032697759568691254,0.03233646601438522,1.0,3.0,success
11,-1.2100797891616821,-4.542112350463867,-0.000672036490868777,0.03257537633180618,0.032343871891498566,1.0,3.0,success
12,-1.2099854946136475,-4.541081428527832,-0.000572819437365979,0.032499030232429504,0.03235078975558281,1.0,3.0,success
13,-1.2098937034606934,-4.540050506591797,-0.0004934673779644072,0.03243867680430412,0.03234376013278961,1.0,3.0,success
14,-1.2098044157028198,-4.539019584655762,-0.00043000257574021816,0.03239767625927925,0.03233691677451134,1.0,3.0,success
15,-1.209717869758606,-4.537988185882568,-0.0003792437200900167,0.032383352518081665,0.03234448283910751,1.0,3.0,success
16,-1.209633708000183,-4.536956787109375,-0.0003386466414667666,0.03236321359872818,0.03233833611011505,1.0,3.0,success
17,-1.20955228805542,-4.535924911499023,-0.0003061765164602548,0.03236224874854088,0.03234633803367615,1.0,3.0,success
18,-1.2094732522964478,-4.534893035888672,-0.00028020606259815395,0.03235074505209923,0.03234056010842323,1.0,3.0,success
19,-1.2093969583511353,-4.53386116027832,-0.00025943381479009986,0.0323406457901001,0.032334133982658386,1.0,3.0,success
20,-1.2093230485916138,-4.5328288078308105,-0.00024281894729938358,0.03234775364398956,0.03234358876943588,1.0,3.0,success
21,-1.2092517614364624,-4.531796455383301,-0.00022952903236728162,0.03234050050377846,0.03233783692121506,1.0,3.0,success
22,-1.2091830968856812,-4.530763626098633,-0.00021889831987209618,0.0323488712310791,0.032347165048122406,1.0,3.0,success
23,-1.2091156244277954,-4.529731273651123,-0.0002103822334902361,0.032330937683582306,0.03232984244823456,1.0,-3.0,success
24,-1.2090469598770142,-4.528698444366455,-0.00020358410256449133,0.03234786167740822,0.032347165048122406,1.0,-3.0,success
25,-1.2089754343032837,-4.5276665687561035,-0.00019814950064755976,0.0323239304125309,0.032323483377695084,1.0,-3.0,success
