Wall time,Step,Value
1778578670.7296858,73728,-11005.064453125
1778578949.3625636,147456,-10449.78515625
1778579228.728267,221184,-9241.359375
1778579508.6508298,294912,-7893.8544921875
1778579788.3854966,368640,-5612.7119140625
1778580074.7326639,442368,-2990.968017578125
1778580356.507484,516096,-1666.10693359375
1778580640.8664913,589824,-702.5025024414062
1778580923.4836261,663552,-345.2729797363281
1778581207.231985,737280,-5.401037693023682
1778581492.359658,811008,133.58009338378906
1778581776.9565375,884736,123.6228256225586
1778582058.849434,958464,231.11752319335938
1778582344.462874,1032192,311.6386413574219
1778582626.5846362,1105920,365.3090515136719
1778582911.6459277,1179648,493.2931823730469
1778583194.3216686,1253376,519.73046875
1778583472.7577114,1327104,560.689208984375
1778583757.679596,1400832,612.3751220703125
1778584040.3996892,1474560,869.6548461914062
1778584322.8524249,1548288,949.0247192382812
1778584605.073413,1622016,1014.8295288085938
1778584889.0501497,1695744,1067.853271484375
1778585170.3331134,1769472,1110.4212646484375
1778585454.9258962,1843200,1244.8175048828125
1778585736.7093325,1916928,1293.3099365234375
1778586020.1705885,1990656,1412.048095703125
1778586302.9754496,2064384,1364.6650390625
1778586585.4805324,2138112,1436.892822265625
1778586867.4230273,2211840,1399.816650390625
1778587149.8203638,2285568,1432.537109375
1778587430.2593331,2359296,1421.9404296875
1778587713.754937,2433024,1456.8031005859375
1778587996.8772163,2506752,1373.321044921875
1778588280.7002928,2580480,1389.9063720703125
1778588564.1232197,2654208,1361.03076171875
1778588848.708991,2727936,1415.596923828125
1778589135.736976,2801664,1319.1756591796875
1778589423.9121654,2875392,1382.6766357421875
1778589712.3800664,2949120,1485.3585205078125
1778589998.9355876,3022848,1613.5045166015625
