step,x,y,z,speed_3d,speed_xy,command_v,command_w,outcome
0,-1.2111371755599976,-4.549785137176514,-0.009902122430503368,0.0,0.0,0.0,0.0,success
1,-1.2111334800720215,-4.549802303314209,-0.005006319843232632,0.1529948115348816,0.0005487315356731415,1.0,-3.0,success
2,-1.210760235786438,-4.548836708068848,-0.0040310402400791645,0.04444597661495209,0.032350700348615646,1.0,3.0,success
3,-1.2103819847106934,-4.547850608825684,-0.0032732889521867037,0.040620822459459305,0.033004872500896454,1.0,3.0,success
4,-1.2100061178207397,-4.546863555908203,-0.0026674456894397736,0.0380505807697773,0.03300611302256584,1.0,3.0,success
5,-1.209632396697998,-4.545875549316406,-0.0021829179022461176,0.03631717339158058,0.03301018476486206,1.0,3.0,success
6,-1.2092609405517578,-4.544887065887451,-0.0017954129725694656,0.03515089303255081,0.03299915790557861,1.0,3.0,success
7,-1.208891749382019,-4.54389762878418,-0.0014855029294267297,0.03439391404390335,0.03300224617123604,1.0,3.0,success
8,-1.2085247039794922,-4.542907238006592,-0.0012376500526443124,0.03390340134501457,0.033006805926561356,1.0,3.0,success
9,-1.2081599235534668,-4.541916370391846,-0.0010394278215244412,0.03357267379760742,0.03299625962972641,1.0,3.0,success
10,-1.2077972888946533,-4.540924549102783,-0.0008808982674963772,0.03337091580033302,0.033001139760017395,1.0,3.0,success
11,-1.2074360847473145,-4.539931774139404,-0.0007540988735854626,0.03325077146291733,0.03301382437348366,1.0,-3.0,success
12,-1.2070730924606323,-4.5389404296875,-0.0006527128862217069,0.03314277529716492,0.032990992069244385,1.0,3.0,success
13,-1.206712245941162,-4.537947654724121,-0.0005716203013435006,0.03310713171958923,0.033010002225637436,1.0,3.0,success
14,-1.206353783607483,-4.536954402923584,-0.0005067655583843589,0.03306082263588905,0.03299864009022713,1.0,3.0,success
15,-1.2063480615615845,-4.5369343757629395,-0.0004597804509103298,0.0016060885973274708,0.0006508924998342991,0.0,3.0,success
16,-1.2060006856918335,-4.535959243774414,-0.0004127512511331588,0.0323820598423481,0.032348692417144775,1.0,3.0,success
17,-1.2056490182876587,-4.534963607788086,-0.00037940833135508,0.033013854175806046,0.032997407019138336,1.0,3.0,success
18,-1.2052994966506958,-4.533967018127441,-0.000353028008248657,0.03301355242729187,0.03300325945019722,1.0,3.0,success
19,-1.2049521207809448,-4.532969951629639,-0.00033194414572790265,0.03300177678465843,0.03299519792199135,1.0,3.0,success
20,-1.2046070098876953,-4.5319719314575195,-0.00031508292886428535,0.03300435096025467,0.033000145107507706,1.0,3.0,success
21,-1.2042640447616577,-4.530972957611084,-0.00030159810557961464,0.03300916776061058,0.03300647437572479,1.0,3.0,success
22,-1.203923225402832,-4.52997350692749,-0.0002908135356847197,0.03300058841705322,0.03299886733293533,1.0,3.0,success
23,-1.2035845518112183,-4.52897310256958,-0.0002821885282173753,0.033006612211465836,0.03300551325082779,1.0,3.0,success
24,-1.2032480239868164,-4.527972221374512,-0.00027529060025699437,0.03299890086054802,0.03299819305539131,1.0,3.0,success
25,-1.202913761138916,-4.526970386505127,-0.00026977394009009004,0.03300442546606064,0.033003974705934525,1.0,3.0,success
26,-1.202581524848938,-4.525968074798584,-0.00026536197401583195,0.03299841657280922,0.03299812972545624,1.0,3.0,success
27,-1.2022515535354614,-4.524964809417725,-0.000261833454715088,0.03300442174077034,0.03300423547625542,1.0,3.0,success
28,-1.2019236087799072,-4.523961067199707,-0.00025901151821017265,0.032998789101839066,0.032998669892549515,1.0,3.0,success
29,-1.2015979290008545,-4.522956848144531,-0.0002567546325735748,0.03299100697040558,0.03299092873930931,1.0,3.0,success
30,-1.2012743949890137,-4.521951198577881,-0.00025494970032013953,0.033012907952070236,0.033012859523296356,1.0,3.0,success
31,-1.2009530067443848,-4.5209455490112305,-0.000253506179433316,0.0329924151301384,0.03299238532781601,1.0,3.0,success
32,-1.2006337642669678,-4.519938945770264,-0.00025235171779058874,0.033000461757183075,0.033000439405441284,1.0,3.0,success
33,-1.2003166675567627,-4.5189313888549805,-0.00025142839876934886,0.03300866857171059,0.03300865739583969,1.0,3.0,success
34,-1.2000017166137695,-4.517923831939697,-0.00025069000548683107,0.032988596707582474,0.03298858553171158,1.0,3.0,success
35,-1.1996889114379883,-4.5169148445129395,-0.0002500994596630335,0.03301134705543518,0.03301134333014488,1.0,3.0,success
36,-1.1996837854385376,-4.516895771026611,-0.00025450115208514035,0.0006323386332951486,0.0006171963759697974,0.0,-3.0,success
37,-1.1993763446807861,-4.515907287597656,-0.00024858463439159095,0.03235023096203804,0.03234969824552536,1.0,3.0,success
38,-1.199377179145813,-4.515906810760498,-0.00025308813201263547,0.0001439034240320325,3.003424899361562e-05,0.0,0.0,success
39,-1.1990721225738525,-4.514917850494385,-0.00024734719772823155,0.03234238550066948,0.032341890037059784,1.0,3.0,success
40,-1.1987637281417847,-4.5139079093933105,-0.0002471206244081259,0.03299929201602936,0.03299928829073906,1.0,3.0,success
41,-1.1984574794769287,-4.51289701461792,-0.00024722973466850817,0.03300828859210014,0.03300828859210014,1.0,3.0,success
42,-1.1981534957885742,-4.511885643005371,-0.0002473312197253108,0.033002108335494995,0.033002108335494995,1.0,3.0,success
43,-1.1978516578674316,-4.510873794555664,-0.0002474131470080465,0.03299714997410774,0.03299714997410774,1.0,3.0,success
44,-1.197551965713501,-4.509861469268799,-0.00024747868883423507,0.03299233317375183,0.03299232944846153,1.0,3.0,success
45,-1.1972545385360718,-4.508848190307617,-0.0002475311339367181,0.03300090506672859,0.03300090506672859,1.0,3.0,success
46,-1.1969592571258545,-4.507833957672119,-0.0002475731016602367,0.03301069512963295,0.03301069512963295,1.0,3.0,success
47,-1.1966662406921387,-4.506819725036621,-0.00024760665837675333,0.03299098089337349,0.03299097716808319,1.0,3.0,success
48,-1.1963753700256348,-4.505804538726807,-0.00024763349210843444,0.03300108015537262,0.03300108015537262,1.0,3.0,success
49,-1.1960866451263428,-4.504788875579834,-0.00024765494163148105,0.0329970046877861,0.0329970046877861,1.0,3.0,success
50,-1.1958000659942627,-4.503772258758545,-0.0002476721128914505,0.0330074168741703,0.0330074168741703,1.0,3.0,success
51,-1.1957963705062866,-4.503751277923584,-0.0002525683376006782,0.0006831003120169044,0.0006657438352704048,0.0,3.0,success
52,-1.1955193281173706,-4.502754211425781,-0.0002470322942826897,0.03233921527862549,0.03233875334262848,1.0,3.0,success
53,-1.1952396631240845,-4.501736164093018,-0.0002468733873683959,0.03299255669116974,0.03299255296587944,1.0,3.0,success
54,-1.1949622631072998,-4.5007171630859375,-0.0002470322942826897,0.03300262987613678,0.03300262987613678,1.0,3.0,success
55,-1.194687008857727,-4.499697685241699,-0.000247173331445083,0.03299946337938309,0.03299946337938309,1.0,3.0,success
56,-1.1944140195846558,-4.4986772537231445,-0.0002472868945915252,0.03300987556576729,0.03300987556576729,1.0,3.0,success
57,-1.1941431760787964,-4.49765682220459,-0.00024737772764638066,0.03299260884523392,0.03299260884523392,1.0,3.0,success
58,-1.1938745975494385,-4.496635437011719,-0.0002474503999110311,0.033003345131874084,0.033003345131874084,1.0,3.0,success
59,-1.1936074495315552,-4.4956135749816895,-0.00024749699514359236,0.033006418496370316,0.033006418496370316,1.0,-3.0,success
60,-1.1933385133743286,-4.494592666625977,-0.00024755511549301445,0.03299177810549736,0.03299177810549736,1.0,3.0,success
61,-1.193071722984314,-4.493570804595947,-0.00024759239749982953,0.03300359845161438,0.03300359472632408,1.0,3.0,success
62,-1.1928071975708008,-4.49254846572876,-0.0002476218796800822,0.03300021216273308,0.03300021216273308,1.0,3.0,success
63,-1.192544937133789,-4.491525650024414,-0.00024764545378275216,0.03299698606133461,0.03299698606133461,1.0,3.0,success
64,-1.1922849416732788,-4.490501880645752,-0.00024766437127254903,0.03300836309790611,0.03300836309790611,1.0,3.0,success
65,-1.19202721118927,-4.48947811126709,-0.00024767950526438653,0.032991014420986176,0.032991014420986176,1.0,3.0,success
66,-1.1917716264724731,-4.488453388214111,-0.000247691641561687,0.03300362080335617,0.03300362080335617,1.0,3.0,success
67,-1.1915183067321777,-4.487428188323975,-0.00024770139134489,0.03300102800130844,0.03300102800130844,1.0,3.0,success
68,-1.1912671327590942,-4.48640251159668,-0.0002477091911714524,0.03299948200583458,0.03299948200583458,1.0,3.0,success
69,-1.1912641525268555,-4.486381530761719,-0.0002525978197809309,0.0006796252564527094,0.0006622325745411217,0.0,3.0,success
70,-1.1912652254104614,-4.4863810539245605,-0.00025193978217430413,4.2059597035404295e-05,3.6689853004645556e-05,0.0,3.0,success
71,-1.1910250186920166,-4.485374450683594,-0.0002462297852616757,0.03234007954597473,0.032339584082365036,1.0,3.0,success
72,-1.190782904624939,-4.484346866607666,-0.0002462166885379702,0.03299130126833916,0.03299130126833916,1.0,3.0,success
73,-1.1905423402786255,-4.483318328857422,-0.00024649506667628884,0.03300924599170685,0.03300924599170685,1.0,-3.0,success
74,-1.1902999877929688,-4.482290744781494,-0.0002467529848217964,0.03299301117658615,0.03299301117658615,1.0,3.0,success
75,-1.1900599002838135,-4.48126220703125,-0.00024695080355741084,0.03300585597753525,0.03300585597753525,1.0,3.0,success
76,-1.1898221969604492,-4.480233192443848,-0.00024710866273380816,0.03300352022051811,0.033003516495227814,1.0,3.0,success
77,-1.1895867586135864,-4.479204177856445,-0.0002472349733579904,0.03298765793442726,0.03298765793442726,1.0,3.0,success
78,-1.1893534660339355,-4.478174209594727,-0.00024733602185733616,0.03300183266401291,0.03300183266401291,1.0,3.0,success
79,-1.189122200012207,-4.47714376449585,-0.000247411138843745,0.03300243988633156,0.03300243988633156,1.0,0.0,success
80,-1.188891053199768,-4.476113319396973,-0.0002474823850207031,0.033001624047756195,0.033001624047756195,1.0,3.0,success
81,-1.1886621713638306,-4.4750823974609375,-0.00024753407342359424,0.033000752329826355,0.033000752329826355,1.0,3.0,success
82,-1.1884349584579468,-4.474050998687744,-0.00024756407947279513,0.0330040417611599,0.0330040417611599,1.0,-3.0,success
83,-1.1882058382034302,-4.473020076751709,-0.00024760866654105484,0.03300236538052559,0.03300236538052559,1.0,3.0,success
84,-1.187978982925415,-4.471988677978516,-0.00024763509281910956,0.03300163522362709,0.03300163522362709,1.0,3.0,success
85,-1.187754511833191,-4.470956802368164,-0.0002476559020578861,0.03300027176737785,0.03300027176737785,1.0,3.0,success
86,-1.1875321865081787,-4.469924449920654,-0.00024767257855273783,0.033000651746988297,0.033000651746988297,1.0,3.0,success
87,-1.1875286102294922,-4.46990442276001,-0.00025255887885577977,0.0006538294837810099,0.0006357488455250859,0.0,-3.0,success
88,-1.1873100996017456,-4.468893051147461,-0.00024703293456695974,0.032335065305233,0.03233460336923599,1.0,3.0,success
89,-1.1870900392532349,-4.467860221862793,-0.00024687396944500506,0.033000398427248,0.0330003947019577,1.0,3.0,success
90,-1.1868723630905151,-4.466826915740967,-0.0002470326144248247,0.03299953415989876,0.03299953043460846,1.0,3.0,success
91,-1.1866568326950073,-4.465793132781982,-0.0002471734769642353,0.033000361174345016,0.033000361174345016,1.0,3.0,success
92,-1.1866534948349,-4.46577262878418,-0.00025215919595211744,0.0006676192278973758,0.0006491845706477761,0.0,-3.0,success
93,-1.1864373683929443,-4.4647393226623535,-0.00024661101633682847,0.03299003839492798,0.032989583909511566,1.0,0.0,success
94,-1.1862214803695679,-4.463705539703369,-0.0002466346777509898,0.033002644777297974,0.033002644777297974,1.0,3.0,success
95,-1.1860077381134033,-4.462671279907227,-0.0002468455058988184,0.03300359845161438,0.03300359472632408,1.0,3.0,success
96,-1.1857963800430298,-4.461636543273926,-0.00024702397058717906,0.033003196120262146,0.033003196120262146,1.0,3.0,success
97,-1.1857930421829224,-4.461616516113281,-0.00025203972472809255,0.000653555616736412,0.0006344815483316779,0.0,-3.0,success
98,-1.1855851411819458,-4.460602760314941,-0.0002466182049829513,0.03233964368700981,0.032339200377464294,1.0,3.0,success
99,-1.1853759288787842,-4.459567546844482,-0.0002465423021931201,0.03300444781780243,0.03300444781780243,1.0,3.0,success
100,-1.185168981552124,-4.458531856536865,-0.0002467673912178725,0.033005110919475555,0.033005110919475555,1.0,3.0,success
101,-1.1851667165756226,-4.458510875701904,-0.0002518439432606101,0.0006782739656046033,0.0006594605511054397,0.0,3.0,success
102,-1.1849640607833862,-4.457474708557129,-0.00024635044974274933,0.032994166016578674,0.03299371898174286,1.0,0.0,success
103,-1.1849614381790161,-4.457453727722168,-0.0002513088402338326,0.0006786785670556128,0.0006607535178773105,0.0,3.0,success
104,-1.1847648620605469,-4.456437587738037,-0.00024601438781246543,0.032343532890081406,0.03234310820698738,1.0,3.0,success
105,-1.1845667362213135,-4.455400466918945,-0.00024604747886769474,0.03299611434340477,0.03299611434340477,1.0,-3.0,success
106,-1.1843667030334473,-4.4543633460998535,-0.00024638097966089845,0.03300734981894493,0.03300734609365463,1.0,3.0,success
107,-1.1841689348220825,-4.453326225280762,-0.0002466524310875684,0.032994017004966736,0.032994017004966736,1.0,3.0,success
108,-1.184166431427002,-4.453305244445801,-0.0002517524699214846,0.0006792637286707759,0.0006603017682209611,0.0,3.0,success
109,-1.1839768886566162,-4.452287673950195,-0.00024637975730001926,0.032346464693546295,0.032346028834581375,1.0,3.0,success
110,-1.1837865114212036,-4.451249122619629,-0.00024635091540403664,0.03299550712108612,0.03299550712108612,1.0,3.0,success
111,-1.183598518371582,-4.450210094451904,-0.00024661418865434825,0.03299681842327118,0.03299681469798088,1.0,3.0,success
112,-1.1834126710891724,-4.4491705894470215,-0.00024683878291398287,0.032999612390995026,0.032999612390995026,1.0,3.0,success
113,-1.1832293272018433,-4.4481306076049805,-0.00024701913935132325,0.03300061076879501,0.033000607043504715,1.0,3.0,success
114,-1.183048129081726,-4.447090148925781,-0.0002471634652465582,0.03300371393561363,0.03300371393561363,1.0,3.0,success
115,-1.1828691959381104,-4.446049213409424,-0.00024727892014198005,0.03300632908940315,0.03300632908940315,1.0,3.0,success
116,-1.182692527770996,-4.445008277893066,-0.00024737126659601927,0.03299441188573837,0.03299441188573837,1.0,3.0,success
